session_time_s,phase,activity,from_target,from_aoi,to_target,to_aoi,gaze_entropy_bits,pre_rescue_entropy_bits
37.44602,Default,CortarCacau,Wall,Barrier,Writebook_4,Default,3.8043678,3.804367780685425
39.5929,Default,CortarCacau,Wall,Barrier,Writebook_5,Default,3.8043678,3.8043675422668457
41.77644,Default,CortarCacau,Mixer,Default,Writebook_5,Default,3.8043678,3.804368257522583
54.19522,Default,CortarCacau,Writebook_1,Default,Writebook_1,Default,1.9288259,2.2733027935028076
80.97292,Default,CortarCacau,PlateWithSeed,PlateWithSeed,Paper_0,Default,3.4163263,3.506951332092285
98.86256,Default,CortarCacau,Paper_0,Default,Paper_0,Default,3.8331792,3.761439085006714
123.0833,Default,SecarSemente,Paper_0,Default,Paper_0,Default,1.9947087,2.4444680213928223
129.0199,Default,SecarSemente,Dehumidifier,Default,Paper_0,Default,1.159262,1.6005756855010986
132.3268,Default,SecarSemente,Paper_0,Default,Paper_0,Default,1.159262,1.3534225225448608
134.6574,Default,SecarSemente,Paper_0,Default,Paper_0,Default,1.1412816,1.1994242668151855
139.7007,Default,DescascarSemente,Chopper,Default,Paper_0,Default,1.1412816,1.1602686643600464
152.6868,Default,DescascarSemente,Toaster,Default,Toaster,Default,2.6490226,2.0324316024780273
157.0871,Default,DescascarSemente,Paper_0,Default,Paper_0,Default,2.862608,2.506380319595337
158.5026,Default,DescascarSemente,Collider_0,Obstacle,Collider_0,Obstacle,2.862608,2.5835251808166504
167.4786,Default,DescascarSemente,Toaster,Default,Paper_0,Default,1.225857,2.1197168827056885
176.1551,Default,Moer,Chopper,Default,Paper_0,Default,2.0265956,1.6117172241210938
181.3337,Default,Moer,Paper_0,Default,Paper_0,Default,3.1609428,2.488952159881592
188.6942,Default,Moer,Writebook_6,Default,Writebook_6,Default,2.1318154,2.920015573501587
197.0921,Default,TorrarAmendoa,Peeler,Default,Peeler,Default,0.72454274,1.466186285018921
198.8185,Default,TorrarAmendoa,Peeler,Default,Peeler,Default,0.6818805,1.198606014251709
203.7306,Default,TorrarAmendoa,Peeler,Default,Peeler,Default,1.3023726,0.7826632261276245
216.0853,Default,Misturar,Wall,Barrier,Wall,Barrier,3.4694636,3.0711216926574707
217.5087,Default,Misturar,Writebook_5,Default,Writebook_5,Default,3.4694636,3.3329782485961914
218.5794,Default,Misturar,Door,Default,Writebook_5,Default,1.1965384,3.297109365463257
232.872,Default,Misturar,Writebook_5,Default,Writebook_5,Default,2.5613909,1.5464017391204834
245.4308,Default,Formar,Mixer,Default,Writebook_5,Default,3.8606076,3.6306586265563965
252.0128,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.6782517,3.7561192512512207
252.828,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.6782517,3.7644383907318115
254.9194,Default,Formar,Paper_1,Default,Paper_1,Default,3.299772,3.680630683898926
263.9084,Default,Formar,Writebook_5,Default,Writebook_5,Default,4.0759516,3.6160643100738525
265.1778,Default,Formar,Pan,Pan,Writebook_5,Default,4.0759516,3.7260231971740723
270.6696,Default,Formar,Writebook_5,Default,Writebook_5,Default,4.2657204,4.0804362297058105
273.8766,Default,Formar,Writebook_5,Default,Writebook_5,Default,4.0395594,4.167348384857178
276.9736,Default,Formar,Collider_11,Obstacle,Writebook_5,Default,4.0395594,4.156581878662109
277.6431,Default,Formar,Collider_11,Obstacle,Writebook_5,Default,4.0395594,4.1543073654174805
279.0341,Default,Formar,Writebook_5,Default,Writebook_5,Default,2.3023503,3.989025354385376
282.5663,Default,Formar,Writebook_5,Default,Writebook_5,Default,2.3023503,3.269123077392578
294.1248,Default,Formar,Mixer,Default,Writebook_5,Default,0.9337827,1.2399407625198364
298.0668,Default,Formar,Mixer,Default,Mixer,Default,1.6940886,0.9885988831520081
300.975,Default,Formar,Writebook_5,Default,Writebook_5,Default,1.6940886,1.2649600505828857
306.0762,Default,Formar,Writebook_5,Default,Writebook_5,Default,2.5226533,1.9825854301452637
306.6774,Default,Formar,Writebook_5,Default,Writebook_5,Default,2.5226533,2.0686490535736084
324.0992,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.0152826,3.3963592052459717
326.5497,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.0152826,3.353386640548706
328.3426,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.060333,3.3093457221984863
330.18,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.060333,3.2164509296417236
334.1993,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.570978,3.0679078102111816
336.7074,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.570978,3.2022006511688232
338.3879,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.570978,3.2832396030426025
344.9503,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.0728076,3.46722674369812
345.4178,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.0728076,3.446469783782959
346.4865,Default,Formar,Bandeja,Bandeja,Writebook_5,Default,3.0728076,3.398728370666504
355.0632,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.7351265,3.368712902069092
358.4809,Default,Formar,Writebook_5,Default,Writebook_5,Default,4.159108,3.6031219959259033
360.9969,Default,Formar,Writebook_5,Default,Writebook_5,Default,4.159108,3.829434394836426
364.2624,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.4533658,3.8931126594543457
366.9353,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.4533658,3.82736873626709
371.7686,Default,Formar,Writebook_5,Default,Writebook_5,Default,3.9667077,3.7429051399230957
385.8462,Default,Formar,Paper_0,Default,Paper_0,Default,1.9691988,3.087310791015625
396.7858,Default,Formar,Chocolate,Chocolate,Writebook_5,Default,2.460525,2.2173681259155273
399.2337,Default,Formar,Writebook_5,Default,Writebook_5,Default,2.460525,2.300844430923462
402.0305,Default,Formar,Door,Default,Writebook_5,Default,2.460525,2.423676013946533
404.1911,Default,Formar,Writebook_5,Default,Writebook_5,Default,,2.4605252742767334
