start_s,end_s,duration_s,activity,mean_gaze_entropy_bits,mean_transition_entropy_bits,mean_k_coefficient,mean_confusion_score,n_targets_scanned,targets
5.604650974273682,18.22425079345703,12.61959981918335,CortarCacau,4.964206695556641,0.9677986879095888,-0.3871678411960602,0.733516275882721,3,Checker|Wood|Wall
20.119220733642578,21.64742088317871,1.5282001495361328,CortarCacau,3.622533082962036,0.9677986879095888,-0.9331560730934143,0.5004949569702148,3,Wall|Wood|Checker
23.67112922668457,35.86473083496094,12.193601608276367,CortarCacau,4.245394706726074,0.9677986879095888,0.4264770448207855,0.5748421549797058,3,Checker|Wall|Wood
47.00366973876953,58.67546081542969,11.671791076660156,CortarCacau,4.245397567749023,0.9677986879095888,0.53176349401474,0.5693888068199158,3,Checker|Wall|Wood
64.83509826660156,71.875732421875,7.0406341552734375,CortarCacau,4.4666337966918945,0.9677986879095888,0.09435684233903885,0.6188673973083496,3,Wall|Wood|Checker
92.70204162597656,119.93370056152344,27.231658935546875,CortarCacau,4.923305034637451,0.9677986879095888,0.07096017897129059,0.7079164385795593,3,Checker|Wall|Wood
129.99130249023438,164.10679626464844,34.11549377441406,CortarCacau,4.511521339416504,0.9677986879095888,-0.07403792440891266,0.6408389806747437,3,Wall|Checker|Wood
176.62530517578125,186.718505859375,10.09320068359375,CortarCacau,4.205750942230225,0.9677986879095888,0.4597056806087494,0.5723373293876648,3,Wall|Wood|Checker
196.78460693359375,217.48109436035156,20.696487426757812,CortarCacau,4.654257774353027,0.9677986879095888,0.4445168673992157,0.6603372097015381,3,Wall|Checker|Wood
237.22720336914062,252.83299255371094,15.605789184570312,CortarCacau,4.068541049957275,0.9677986879095888,-0.031507667154073715,0.546090841293335,3,Checker|Wall|Wood
